"year","mean","location","age","per1000"
1992,0.0407900788930964,"Cambodia","Neonatal",40.7900788930964
1993,0.0404828486143881,"Cambodia","Neonatal",40.4828486143881
1994,0.0403156190953875,"Cambodia","Neonatal",40.3156190953875
1995,0.0400263520523888,"Cambodia","Neonatal",40.0263520523888
1996,0.0396753419575592,"Cambodia","Neonatal",39.6753419575592
1997,0.0390995921900615,"Cambodia","Neonatal",39.0995921900615
1998,0.0383615423714053,"Cambodia","Neonatal",38.3615423714053
1999,0.0373104952740957,"Cambodia","Neonatal",37.3104952740957
2000,0.035952074679782,"Cambodia","Neonatal",35.952074679782
2001,0.034405096972618,"Cambodia","Neonatal",34.405096972618
2002,0.032717161694264,"Cambodia","Neonatal",32.717161694264
2003,0.030966486311093,"Cambodia","Neonatal",30.966486311093
2004,0.0292237411676168,"Cambodia","Neonatal",29.2237411676168
2005,0.0275098475938352,"Cambodia","Neonatal",27.5098475938352
2006,0.0258937535973701,"Cambodia","Neonatal",25.8937535973701
2007,0.0243925748621403,"Cambodia","Neonatal",24.3925748621403
2008,0.0229971140227035,"Cambodia","Neonatal",22.9971140227035
2009,0.0217969175829738,"Cambodia","Neonatal",21.7969175829738
2010,0.0207103559812527,"Cambodia","Neonatal",20.7103559812527
2011,0.0196566186115451,"Cambodia","Neonatal",19.6566186115451
2012,0.0187411695778239,"Cambodia","Neonatal",18.7411695778239
2013,0.0179056934531655,"Cambodia","Neonatal",17.9056934531655
2014,0.0171943502871487,"Cambodia","Neonatal",17.1943502871487
2015,0.0165248356551838,"Cambodia","Neonatal",16.5248356551838
2016,0.0157326196540991,"Cambodia","Neonatal",15.7326196540991
1970,0.205926521514008,"Peru","Under 5",205.926521514008
1971,0.178136178255964,"Peru","Under 5",178.136178255964
1972,0.172070252838791,"Peru","Under 5",172.070252838791
1973,0.166627143149723,"Peru","Under 5",166.627143149723
1974,0.161082431302924,"Peru","Under 5",161.082431302924
1975,0.155862573869153,"Peru","Under 5",155.862573869153
1976,0.150957456301476,"Peru","Under 5",150.957456301476
1977,0.146172548393816,"Peru","Under 5",146.172548393816
1978,0.14143353747521,"Peru","Under 5",141.43353747521
1979,0.136267559194938,"Peru","Under 5",136.267559194938
1980,0.13105144363042,"Peru","Under 5",131.05144363042
1981,0.125813485959752,"Peru","Under 5",125.813485959752
1982,0.121020554508279,"Peru","Under 5",121.020554508279
1983,0.116541773436433,"Peru","Under 5",116.541773436433
1984,0.111604868886028,"Peru","Under 5",111.604868886028
1985,0.105753713106113,"Peru","Under 5",105.753713106113
1986,0.099756469150618,"Peru","Under 5",99.756469150618
1987,0.0935050644982832,"Peru","Under 5",93.5050644982832
1988,0.0878641382471874,"Peru","Under 5",87.8641382471874
1989,0.0836123899809559,"Peru","Under 5",83.6123899809559
1990,0.0793244344650832,"Peru","Under 5",79.3244344650832
1991,0.0792570536321913,"Peru","Under 5",79.2570536321913
1992,0.0719781397709744,"Peru","Under 5",71.9781397709744
1993,0.0673100289979041,"Peru","Under 5",67.3100289979041
1994,0.0619655059859989,"Peru","Under 5",61.9655059859989
1995,0.0572102631901986,"Peru","Under 5",57.2102631901986
1996,0.0525364103644897,"Peru","Under 5",52.5364103644897
1997,0.0484122393554863,"Peru","Under 5",48.4122393554863
1998,0.0450618564112483,"Peru","Under 5",45.0618564112483
1999,0.0410914131876503,"Peru","Under 5",41.0914131876503
2000,0.0381848381939147,"Peru","Under 5",38.1848381939147
2001,0.0358669965117284,"Peru","Under 5",35.8669965117284
2002,0.0336372390695228,"Peru","Under 5",33.6372390695228
2003,0.0318026981518496,"Peru","Under 5",31.8026981518496
2004,0.0301613132368542,"Peru","Under 5",30.1613132368542
2005,0.0286047234169405,"Peru","Under 5",28.6047234169405
2006,0.0270478741728361,"Peru","Under 5",27.0478741728361
